Title,Rated
Bram Stoker's Dracula,R
The Talented Mr. Ripley,R
The Last of the Mohicans,R
"I Love You, Man",R
Snatch,R
The Mexican,R
The Final Destination,R
Get Him to the Greek,R
Gothika,R
The Lincoln Lawyer,R
Going Overboard,R
Spawn,R
Horrible Bosses 2,R
Predators,R
Apocalypto,R
Jersey Boys,R
Amistad,R
A Million Ways to Die in the West,R
Final Destination 5,R
Aliens vs. Predator: Requiem,R
Sex Tape,R
Scream 4,R
Paul,R
Scarface,R
8MM,R
The Doors,R
Get Rich or Die Tryin',R
L.A. Confidential,R
The Art of War,R
Bless the Child,R
The Reaping,R
Good Will Hunting,R
Mean Streets,R
City by the Sea,R
City Hall,R
Get Carter,R
Kiss of Death,R
Alfie,R
Feardotcom,R
Soul Men,R
The Gunman,R
Universal Soldier: The Return,R
Pandorum,R
Impostor,R
Snowpiercer,R
